Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,"$405,586,592.18 ","$487,709,497.21 ","$596,648,044.69 ","$695,530,726.26 ","$764,804,469.27 ","$872,067,039.11 ","$958,659,217.88 ","$1,083,240,223.46 ","$1,245,810,055.87 ","$1,320,670,391.06 ","$1,379,888,268.16 ","$1,531,843,575.42 ","$1,665,363,128.49 ","$1,722,905,027.93 ","$1,873,184,357.54 ","$1,896,648,044.69 ","$1,962,011,173.18 ","$2,044,134,078.21 ","$2,254,748,603.35 ","$2,359,776,536.31 ","$2,469,832,402.23 ","$2,677,653,631.28 ","$2,843,016,759.78 ","$2,553,631,284.92 ","$2,453,631,284.92 ","$2,637,988,826.82 ","$2,615,083,798.88 ","$2,727,932,960.89 ","$2,791,061,452.51 ","$2,963,128,491.62 ","$2,983,798,882.68 ","$3,092,178,770.95 ","$3,276,187,709.50 ","$3,395,793,854.75 ","$2,610,038,938.55 ","$3,126,019,385.47 ",
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,"$21,125,015,452.20 ","$21,616,228,139.04 ","$23,506,279,899.97 ","$28,048,360,188.28 ","$25,920,665,259.89 ","$29,472,103,269.74 ","$32,014,368,121.37 ","$33,269,509,510.46 ","$36,327,785,494.93 ","$41,638,967,621.00 ","$44,629,891,648.97 ","$49,173,371,528.94 ","$53,123,459,911.65 ","$69,482,723,443.65 ","$85,380,645,042.24 ","$90,835,426,418.48 ","$90,212,747,243.32 ","$102,240,575,582.95 ","$116,084,638,702.25 ","$134,256,827,127.36 ","$171,217,790,780.76 ","$175,859,256,874.36 ","$168,095,657,215.23 ","$175,564,912,386.05 ","$160,646,748,724.36 ","$136,759,437,909.95 ","$153,050,335,915.69 ","$186,658,478,814.26 ","$204,765,985,926.28 ","$218,241,607,366.27 ","$254,062,093,241.87 ","$276,856,728,335.50 ","$246,088,124,935.72 ","$242,926,405,780.19 ","$239,610,677,916.95 ","$270,327,154,574.64 ","$269,490,833,464.82 ","$283,446,224,788.41 ","$266,652,333,830.51 ","$263,024,788,889.79 ","$284,759,318,602.87 ","$259,643,121,973.10 ","$266,529,432,166.38 ","$354,176,768,091.41 ","$440,481,795,990.95 ","$513,941,625,353.73 ","$577,586,931,666.75 ","$662,868,036,074.35 ","$710,536,227,816.54 ","$721,901,168,421.28 ","$863,519,541,417.77 ","$967,824,566,958.79 ","$975,354,777,362.37 ","$985,987,130,726.70 ","$1,006,526,390,112.83 ","$927,348,469,903.12 ","$885,176,429,223.51 ","$1,021,043,200,767.01 ","$1,007,196,197,587.41 ","$1,000,834,077,088.55 ","$927,593,321,647.66 ","$1,081,998,139,192.47 ","$1,169,483,734,191.46 "
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,"$537,777,811.11 ","$548,888,895.56 ","$546,666,677.78 ","$751,111,191.11 ","$800,000,044.44 ","$1,006,666,637.78 ","$1,399,999,966.67 ","$1,673,333,417.78 ","$1,373,333,366.67 ","$1,408,888,922.22 ","$1,748,886,595.56 ","$1,831,108,971.11 ","$1,595,555,475.56 ","$1,733,333,264.44 ","$2,155,555,497.78 ","$2,366,666,615.56 ","$2,555,555,566.67 ","$2,953,333,417.78 ","$3,300,000,108.89 ","$3,697,940,409.61 ","$3,641,723,322.00 ","$3,478,787,909.09 ",,,,,,,,,,,,,,,,,,,,,"$3,854,235,264.37 ","$4,539,496,562.95 ","$5,220,825,048.65 ","$6,226,198,934.83 ","$6,971,383,338.71 ","$9,715,765,105.48 ","$10,249,770,318.57 ","$12,154,835,707.90 ","$15,633,843,661.81 ","$18,190,413,831.90 ","$20,203,572,959.50 ","$20,564,485,419.17 ","$20,550,582,746.84 ","$19,998,143,635.87 ","$18,019,554,403.45 ","$18,896,353,155.88 ","$18,418,860,354.42 ","$18,904,502,222.21 ","$20,143,451,705.75 ","$14,583,135,236.57 ",
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,"$10,447,637,852.92 ","$11,173,212,080.39 ","$11,990,534,017.87 ","$12,727,688,165.45 ","$13,898,109,284.02 ","$14,929,792,387.52 ","$15,910,837,741.97 ","$14,510,579,888.72 ","$14,968,235,781.96 ","$16,979,315,745.39 ","$23,596,163,865.32 ","$20,936,358,634.33 ","$25,386,169,423.28 ","$31,975,594,564.71 ","$44,416,677,334.57 ","$51,667,190,241.55 ","$62,351,622,299.61 ","$65,595,122,955.59 ","$71,496,496,574.33 ","$88,948,338,390.39 ","$112,439,126,385.11 ","$211,338,060,014.61 ","$187,448,724,919.93 ","$138,384,182,006.55 ","$114,516,348,920.80 ","$116,776,995,132.67 ","$107,886,511,308.92 ","$110,728,825,941.60 ","$109,438,851,253.75 ","$102,254,998,562.58 ","$122,387,353,859.46 ","$118,039,698,015.64 ","$118,893,094,121.79 ","$99,272,180,411.25 ","$86,636,400,265.84 ","$108,690,885,030.36 ","$126,287,285,162.71 ","$127,602,388,366.02 ","$130,678,128,885.18 ","$138,085,971,819.81 ","$140,945,759,313.81 ","$148,529,518,712.34 ","$177,201,164,643.36 ","$205,214,466,071.12 ","$254,264,799,898.51 ","$310,889,578,636.23 ","$396,921,040,009.47 ","$465,485,534,968.54 ","$567,791,156,729.13 ","$508,362,731,366.63 ","$598,521,555,565.84 ","$682,015,858,791.68 ","$737,589,473,577.07 ","$833,948,054,767.44 ","$894,322,482,190.28 ","$768,644,740,597.12 ","$691,363,412,188.46 ","$684,898,755,570.72 ","$767,025,741,475.04 ","$822,538,393,591.45 ","$786,460,035,395.03 ","$844,459,722,152.99 ","$877,863,284,874.07 "
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,"$5,930,503,400.96 ","$5,550,483,035.96 ","$5,550,483,035.96 ","$5,784,341,596.36 ","$6,131,475,065.18 ","$7,554,065,410.12 ","$7,072,536,108.70 ","$8,084,412,414.27 ","$8,769,836,768.83 ","$10,201,780,976.67 ","$11,229,515,599.30 ","$12,704,558,516.59 ","$15,114,352,005.30 ","$11,051,939,101.56 ","$3,390,500,000.00 ","$5,561,222,222.22 ","$7,526,963,963.96 ","$7,648,377,412.83 ","$6,506,229,607.29 ","$6,152,922,942.98 ","$9,129,594,818.61 ","$8,936,079,252.77 ","$15,285,592,487.42 ","$17,812,704,626.23 ","$23,552,057,820.46 ","$36,970,901,025.20 ","$52,381,025,105.22 ","$65,266,415,706.97 ","$88,538,664,888.20 ","$70,307,196,477.08 ","$81,699,526,880.81 ","$109,436,566,876.42 ","$124,998,210,652.24 ","$133,401,582,620.49 ","$137,244,439,121.37 ","$87,219,300,384.51 ","$49,840,491,178.15 ","$68,972,769,395.63 ","$77,792,944,471.95 ","$69,309,110,145.77 ","$50,241,368,243.63 ","$65,685,435,100.50 ","$106,713,618,735.43 "
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,"$1,857,338,011.85 ","$1,897,050,133.42 ","$2,097,326,250.00 ","$2,080,796,250.00 ","$2,051,236,250.00 ","$2,253,090,000.00 ","$2,028,553,750.00 ","$1,099,559,027.78 ","$652,174,990.84 ","$1,185,315,468.46 ","$1,880,950,857.79 ","$2,392,764,853.42 ","$3,199,640,825.62 ","$2,258,513,974.10 ","$2,545,964,540.88 ","$3,212,121,650.98 ","$3,480,355,258.04 ","$3,922,100,793.54 ","$4,348,068,242.20 ","$5,611,496,257.14 ","$7,184,685,781.52 ","$8,052,077,209.37 ","$8,896,074,996.36 ","$10,677,324,872.83 ","$12,881,352,878.25 ","$12,044,205,572.43 ","$11,926,926,654.05 ","$12,890,760,272.56 ","$12,319,834,233.29 ","$12,776,224,537.27 ","$13,228,147,516.12 ","$11,386,853,143.15 ","$11,861,199,830.84 ","$13,019,726,211.74 ","$15,156,424,061.98 ","$15,401,826,080.52 ","$15,162,734,205.25 ","$17,930,565,118.82 ","$18,882,095,517.88 "
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,"$78,617,622.62 ","$89,406,587.66 ","$113,414,399.18 ","$150,841,573.45 ","$186,557,164.01 ","$220,112,879.76 ","$227,284,061.47 ","$253,998,001.24 ","$308,020,288.91 ","$411,548,365.74 ","$446,377,571.46 ","$388,982,990.47 ","$375,914,806.53 ","$327,849,981.48 ","$330,073,057.02 ","$346,742,876.30 ","$481,996,191.30 ","$611,300,147.25 ","$721,425,971.77 ","$795,489,464.03 ","$1,028,989,393.70 ","$1,106,891,024.79 ","$1,209,992,649.57 ","$1,007,090,915.06 ","$1,017,544,675.50 ","$1,178,745,314.33 ","$1,224,023,415.65 ","$1,180,646,068.29 ","$1,211,953,953.56 ","$1,239,840,269.72 ","$1,429,048,105.67 ","$1,546,912,331.88 ","$1,755,989,899.30 ","$2,361,635,782.06 ","$2,895,047,587.12 ","$3,159,826,891.51 ","$3,456,265,061.72 ","$3,952,397,734.85 ","$4,085,781,938.52 ","$3,674,188,228.95 ","$3,449,925,738.83 ","$3,629,133,574.51 ","$3,188,652,765.29 ","$3,193,512,950.02 ","$3,271,685,596.52 ","$2,789,881,258.61 ","$2,896,610,479.87 ","$3,000,162,081.22 ","$3,218,419,896.93 ","$3,155,149,347.92 ","$2,891,001,149.40 ","$3,325,145,406.77 ","$3,352,032,737.04 "
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,"$34,715,404,210.85 ","$37,827,652,252.00 ","$42,768,536,550.70 ","$49,428,519,673.46 ","$58,935,857,748.53 ","$74,780,454,402.09 ","$142,137,633,612.98 ","$157,069,227,730.65 ","$195,513,756,716.27 ","$225,676,459,936.30 ","$249,608,263,403.05 ","$337,961,752,414.98 ","$459,804,598,569.46 ","$474,812,142,540.10 ","$444,575,870,914.34 ","$418,462,069,813.76 ","$425,899,415,741.84 ","$419,485,435,098.32 ","$406,982,702,169.50 ","$440,607,629,311.65 ","$424,896,194,402.90 ","$455,822,667,744.98 ","$644,062,569,659.78 ","$471,800,078,473.11 ","$473,811,268,023.86 ","$482,764,256,146.68 ","$507,764,942,792.86 ","$556,046,395,850.07 ","$614,186,085,021.48 ","$662,308,062,161.08 ","$649,192,024,190.98 ","$717,469,440,493.50 ","$820,185,610,129.24 ","$802,881,110,720.16 ","$807,961,558,719.85 ","$893,818,030,124.46 ","$1,062,736,962,989.39 ","$1,304,401,465,632.94 ","$1,545,539,138,979.41 ","$1,797,932,187,931.83 ","$2,263,028,942,886.32 ","$1,987,053,424,430.17 ","$2,334,637,959,849.48 ","$2,555,979,378,991.65 ","$2,801,697,577,805.59 ","$2,859,669,252,729.58 ","$2,905,732,745,187.01 ","$2,554,156,134,622.59 ","$2,537,536,661,584.81 ","$2,637,111,521,998.13 ","$2,843,476,105,063.80 ","$2,868,890,920,845.12 ","$2,533,377,484,136.87 ","$2,928,455,523,439.88 ","$3,557,557,256,270.59 "
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,"$14,720,728,252.25 ","$19,213,156,353.50 ","$24,871,775,164.60 ","$23,775,765,254.44 ","$31,225,660,993.10 ","$43,599,160,062.09 ","$49,333,424,148.55 ","$46,622,718,617.98 ","$42,803,323,356.80 ","$41,807,954,240.65 ","$40,603,650,231.54 ","$33,943,612,094.80 ","$36,384,908,744.21 ","$36,275,674,203.21 ","$41,464,995,913.92 ","$50,701,443,748.30 ","$51,552,165,622.45 ","$54,239,171,887.77 ","$55,625,170,253.34 ","$59,305,093,979.84 ","$65,743,666,575.86 ","$73,571,233,996.19 ","$78,839,008,444.57 ","$75,674,336,283.19 ","$84,445,473,110.96 ","$104,337,372,362.15 ","$103,311,640,571.82 ","$109,816,201,497.62 ","$124,346,358,066.71 ","$147,824,370,319.95 ","$180,617,467,964.60 ","$222,116,541,865.21 ","$257,916,133,424.10 ","$315,474,615,738.60 ","$253,547,358,747.45 ","$289,787,452,661.68 ","$350,666,058,379.85 ","$384,610,125,391.42 ","$400,218,529,748.13 ","$414,105,366,752.89 ","$370,275,469,571.14 ","$369,255,326,235.53 ","$390,516,804,029.95 ","$427,049,432,157.93 ","$417,989,721,742.68 ","$349,473,015,330.16 ","$415,021,590,687.54 ","$507,534,921,715.45 "
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,"$24,450,604,877.61 ","$18,272,123,664.47 ","$25,605,249,381.76 ","$28,344,705,966.64 ","$28,630,474,727.90 ","$24,256,667,553.26 ","$26,436,857,247.50 ","$31,256,284,543.62 ","$31,584,210,365.54 ","$33,293,199,095.49 ","$34,733,000,536.29 ","$52,544,000,116.90 ","$72,436,777,342.46 ","$52,438,647,921.92 ","$51,169,499,892.17 ","$56,781,000,101.08 ","$89,049,453,088.33 ","$69,252,328,951.64 ","$76,961,923,741.07 ","$78,676,842,366.55 ","$84,307,486,836.72 ","$103,979,106,777.91 ","$116,915,052,107.03 ","$88,150,891,728.11 ","$105,872,372,613.86 ","$108,810,885,301.25 ","$126,890,235,049.09 ","$76,629,728,760.12 ","$141,352,630,146.73 ","$189,719,984,268.49 ","$228,778,994,288.21 ","$236,741,715,015.02 ","$257,440,000,000.00 ","$258,031,750,000.00 ","$272,149,750,000.00 ","$292,859,000,000.00 ","$298,948,250,000.00 ","$283,523,000,000.00 ","$284,203,750,000.00 ","$268,696,750,000.00 ","$97,724,004,251.86 ","$127,586,973,492.18 ","$164,657,930,452.79 ","$198,737,095,012.28 ","$232,557,260,817.31 ","$287,530,508,430.57 ","$361,558,037,110.42 ","$332,976,484,577.62 ","$423,627,422,092.49 ","$530,158,176,673.79 ","$545,982,375,701.13 ","$552,025,140,252.25 ","$526,319,673,731.64 ","$594,749,285,413.21 ","$557,532,317,363.45 ","$643,628,396,190.39 ","$524,819,898,586.91 ","$447,754,686,715.08 ","$385,540,406,815.60 ","$487,227,125,385.64 ","$632,770,284,408.51 "
